Year.Month,Eadj,fYear.Month,Year,wYear,wMonth,Month,fYear,fMonth,Season
2012/02,0.599224124,Feb-12,2012,2011,10,2,2012,Feb,Dry
2012/03,0.547677168,Mar-12,2012,2011,11,3,2012,Mar,Dry
2012/04,0.371528341,Apr-12,2012,2011,12,4,2012,Apr,Dry
2012/05,0.36126609,May-12,2012,2012,1,5,2012,May,Wet
2012/06,0.531145887,Jun-12,2012,2012,2,6,2012,Jun,Wet
2012/07,0.481028709,Jul-12,2012,2012,3,7,2012,Jul,Wet
2012/08,0.427732644,Aug-12,2012,2012,4,8,2012,Aug,Wet
2012/09,0.391905756,Sep-12,2012,2012,5,9,2012,Sep,Wet
2012/10,0.468648181,Oct-12,2012,2012,6,10,2012,Oct,Wet
2012/11,0.590440333,Nov-12,2012,2012,7,11,2012,Nov,Dry
2012/12,0.614496659,Dec-12,2012,2012,8,12,2012,Dec,Dry
2013/01,0.541591582,Jan-13,2013,2012,9,1,2013,Jan,Dry
2013/02,0.539198158,Feb-13,2013,2012,10,2,2013,Feb,Dry
2013/03,0.526926012,Mar-13,2013,2012,11,3,2013,Mar,Dry
2013/04,0.38286724,Apr-13,2013,2012,12,4,2013,Apr,Dry
2013/05,0.258456485,May-13,2013,2013,1,5,2013,May,Wet
2013/06,0.542860522,Jun-13,2013,2013,2,6,2013,Jun,Wet
2013/07,0.632391187,Jul-13,2013,2013,3,7,2013,Jul,Wet
2013/08,0.605411224,Aug-13,2013,2013,4,8,2013,Aug,Wet
2013/09,0.515953212,Sep-13,2013,2013,5,9,2013,Sep,Wet
2013/10,0.710334307,Oct-13,2013,2013,6,10,2013,Oct,Wet
2013/11,0.679153131,Nov-13,2013,2013,7,11,2013,Nov,Dry
2013/12,0.668335885,Dec-13,2013,2013,8,12,2013,Dec,Dry
2014/01,0.531018714,Jan-14,2014,2013,9,1,2014,Jan,Dry
2014/02,0.391225663,Feb-14,2014,2013,10,2,2014,Feb,Dry
2014/03,0.27335123,Mar-14,2014,2013,11,3,2014,Mar,Dry
2014/04,0.333933202,Apr-14,2014,2013,12,4,2014,Apr,Dry
2014/05,0.425765365,May-14,2014,2014,1,5,2014,May,Wet
2014/06,0.346177497,Jun-14,2014,2014,2,6,2014,Jun,Wet
2014/07,0.582456202,Jul-14,2014,2014,3,7,2014,Jul,Wet
2014/08,0.634971093,Aug-14,2014,2014,4,8,2014,Aug,Wet
2014/09,0.515828611,Sep-14,2014,2014,5,9,2014,Sep,Wet
2014/10,0.647847969,Oct-14,2014,2014,6,10,2014,Oct,Wet
2014/11,0.562268682,Nov-14,2014,2014,7,11,2014,Nov,Dry
2014/12,0.537844533,Dec-14,2014,2014,8,12,2014,Dec,Dry
2015/01,0.262877004,Jan-15,2015,2014,9,1,2015,Jan,Dry
2015/02,0.341271364,Feb-15,2015,2014,10,2,2015,Feb,Dry
2015/03,0.360260642,Mar-15,2015,2014,11,3,2015,Mar,Dry
2015/04,0.426123507,Apr-15,2015,2014,12,4,2015,Apr,Dry
2015/05,0.500499837,May-15,2015,2015,1,5,2015,May,Wet
2015/06,0.470583671,Jun-15,2015,2015,2,6,2015,Jun,Wet
2015/07,0.532465064,Jul-15,2015,2015,3,7,2015,Jul,Wet
2015/08,0.577289442,Aug-15,2015,2015,4,8,2015,Aug,Wet
2015/09,0.762364727,Sep-15,2015,2015,5,9,2015,Sep,Wet
2015/10,0.671961897,Oct-15,2015,2015,6,10,2015,Oct,Wet
2015/11,0.714040494,Nov-15,2015,2015,7,11,2015,Nov,Dry
2015/12,0.728429582,Dec-15,2015,2015,8,12,2015,Dec,Dry
2016/01,0.717713998,Jan-16,2016,2015,9,1,2016,Jan,Dry
2016/02,0.58713663,Feb-16,2016,2015,10,2,2016,Feb,Dry
2016/03,0.586227987,Mar-16,2016,2016,11,3,2016,Mar,Dry
2016/04,0.473188538,Apr-16,2016,2016,12,4,2016,Apr,Dry
2016/05,0.593651638,May-16,2016,2016,1,5,2016,May,Wet
2016/06,0.694971256,Jun-16,2016,2016,2,6,2016,Jun,Wet
2016/07,0.638081452,Jul-16,2016,2016,3,7,2016,Jul,Wet
2016/08,0.652999119,Aug-16,2016,2016,4,8,2016,Aug,Wet
2016/09,0.652499472,Sep-16,2016,2016,5,9,2016,Sep,Wet
2016/10,0.639169167,Oct-16,2016,2016,6,10,2016,Oct,Wet
2016/11,0.648359964,Nov-16,2016,2016,7,11,2016,Nov,Dry
2016/12,0.57635191,Dec-16,2016,2016,8,12,2016,Dec,Dry
2017/01,0.625718249,Jan-17,2017,2016,9,1,2017,Jan,Dry
2017/02,0.364109126,Feb-17,2017,2016,10,2,2017,Feb,Dry
2017/03,0.402171676,Mar-17,2017,2016,11,3,2017,Mar,Dry
2017/04,0.363835874,Apr-17,2017,2016,12,4,2017,Apr,Dry
2017/05,0.423517376,May-17,2017,2017,1,5,2017,May,Wet
2017/06,0.463604616,Jun-17,2017,2017,2,6,2017,Jun,Wet
2017/07,0.471293155,Jul-17,2017,2017,3,7,2017,Jul,Wet
2017/08,0.438815459,Aug-17,2017,2017,4,8,2017,Aug,Wet
2017/09,0.471338227,Sep-17,2017,2017,5,9,2017,Sep,Wet
2017/10,0.647030435,Oct-17,2017,2017,6,10,2017,Oct,Wet
2017/11,0.708187203,Nov-17,2017,2017,7,11,2017,Nov,Dry
2017/12,0.66704389,Dec-17,2017,2017,8,12,2017,Dec,Dry
2018/01,0.590355251,Jan-18,2018,2017,9,01,2018,Jan,Dry
2018/02,0.530881029,Feb-18,2018,2017,10,02,2018,Feb,Dry
2018/03,0.546219995,Mar-18,2018,2017,11,03,2018,Mar,Dry
2018/04,0.392010909,Apr-18,2018,2017,12,04,2018,Apr,Dry
2018/05,0.398738944,May-18,2018,2018,1,05,2018,May,Wet
2018/06,0.516026981,Jun-18,2018,2018,2,06,2018,Jun,Wet
2018/07,0.654886789,Jul-18,2018,2018,3,07,2018,Jul,Wet
2018/08,0.695933026,Aug-18,2018,2018,4,08,2018,Aug,Wet
2018/09,0.657984742,Sep-18,2018,2018,5,09,2018,Sep,Wet
2018/10,0.677965082,Oct-18,2018,2018,6,10,2018,Oct,Wet
2018/11,0.598683194,Nov-18,2018,2018,7,11,2018,Nov,Dry
2018/12,0.579353694,Dec-18,2018,2018,8,12,2018,Dec,Dry
2019/01,0.54134928,Jan-19,2019,2018,9,01,2019,Jan,Dry
2019/02,0.525906453,Feb-19,2019,2018,10,02,2019,Feb,Dry
2019/03,0.572287363,Mar-19,2019,2018,11,03,2019,Mar,Dry
2019/04,0.488061876,Apr-19,2019,2018,12,04,2019,Apr,Dry
2019/05,0.574816658,May-19,2019,2019,1,05,2019,May,Wet
2019/06,0.567069294,Jun-19,2019,2019,2,06,2019,Jun,Wet
2019/07,0.606915766,Jul-19,2019,2019,3,07,2019,Jul,Wet
2019/08,0.642257842,Aug-19,2019,2019,4,08,2019,Aug,Wet
2019/09,0.626501821,Sep-19,2019,2019,5,09,2019,Sep,Wet
2019/10,0.663109855,Oct-19,2019,2019,6,10,2019,Oct,Wet
2019/11,0.645691377,Nov-19,2019,2019,7,11,2019,Nov,Dry
2019/12,0.659629407,Dec-19,2019,2019,8,12,2019,Dec,Dry
2020/01,0.600865201,Jan-20,2020,2019,9,01,2020,Jan,Dry
2020/02,0.564706757,Feb-20,2020,2019,10,02,2020,Feb,Dry
2020/03,0.56324608,Mar-20,2020,2019,11,03,2020,Mar,Dry
2020/04,0.571151784,Apr-20,2020,2019,12,04,2020,Apr,Dry
2020/05,0.37214541,May-20,2020,2020,1,05,2020,May,Wet
2020/06,0.474987288,Jun-20,2020,2020,2,06,2020,Jun,Wet
2020/07,0.501121001,Jul-20,2020,2020,3,07,2020,Jul,Wet
2020/08,0.60216274,Aug-20,2020,2020,4,08,2020,Aug,Wet
2020/09,0.502797059,Sep-20,2020,2020,5,09,2020,Sep,Wet
2020/10,0.424061037,Oct-20,2020,2020,6,10,2020,Oct,Wet
2020/11,0.6591462,Nov-20,2020,2020,7,11,2020,Nov,Dry
2020/12,0.618858839,Dec-20,2020,2020,8,12,2020,Dec,Dry
2021/01,0.401581859,Jan-21,2021,2020,9,01,2021,Jan,Dry
2021/02,0.444902793,Feb-21,2021,2020,10,02,2021,Feb,Dry
2021/03,0.484070303,Mar-21,2021,2020,11,03,2021,Mar,Dry
2021/04,0.504228725,Apr-21,2021,2020,12,04,2021,Apr,Dry
2021/05,0.406953974,May-21,2021,2021,1,05,2021,May,Wet
2021/06,0.461437549,Jun-21,2021,2021,2,06,2021,Jun,Wet
2021/07,0.607388355,Jul-21,2021,2021,3,07,2021,Jul,Wet
2021/08,0.718813103,Aug-21,2021,2021,4,08,2021,Aug,Wet
2021/09,0.795257097,Sep-21,2021,2021,5,09,2021,Sep,Wet
2021/10,0.661053731,Oct-21,2021,2021,6,10,2021,Oct,Wet
2021/11,0.726530585,Nov-21,2021,2021,7,11,2021,Nov,Dry
2021/12,0.619490279,Dec-21,2021,2021,8,12,2021,Dec,Dry
2022/01,0.592222535,Jan-22,2022,2021,9,01,2022,Jan,Dry
2022/02,0.549364062,Feb-22,2022,2021,10,02,2022,Feb,Dry
2022/03,0.557962022,Mar-22,2022,2021,11,03,2022,Mar,Dry
2022/04,0.612438764,Apr-22,2022,2021,12,04,2022,Apr,Dry
2022/05,0.645875249,May-22,2022,2022,1,05,2022,May,Wet
2022/06,0.645191733,Jun-22,2022,2022,2,06,2022,Jun,Wet
2022/07,0.709858658,Jul-22,2022,2022,3,07,2022,Jul,Wet
2022/08,0.705209698,Aug-22,2022,2022,4,08,2022,Aug,Wet
2022/09,0.69177314,Sep-22,2022,2022,5,09,2022,Sep,Wet
2022/10,0.509174427,Oct-22,2022,2022,6,10,2022,Oct,Wet
2022/11,0.6853727,Nov-22,2022,2022,7,11,2022,Nov,Dry
2022/12,0.627962636,Dec-22,2022,2022,8,12,2022,Dec,Dry
2023/01,0.622023905,Jan-23,2023,2022,9,01,2023,Jan,Dry
2023/02,0.701279792,Feb-23,2023,2022,10,02,2023,Feb,Dry
2023/03,0.725294086,Mar-23,2023,2022,11,03,2023,Mar,Dry
2023/04,0.615159909,Apr-23,2023,2022,12,04,2023,Apr,Dry
2023/05,0.689879283,May-23,2023,2023,1,05,2023,May,Wet
2023/06,0.715647079,Jun-23,2023,2023,2,06,2023,Jun,Wet
2023/07,0.418237234,Jul-23,2023,2023,3,07,2023,Jul,Wet