Year.Month,Eadj,fYear.Month,Year,wYear,wMonth,Month,fYear,fMonth,Season,hv_size,hv_n
2012/05,0.36126609,12-May,2012,2012,1,5,2012,May,Wet,6.433142053,7
2012/06,0.531145887,12-Jun,2012,2012,2,6,2012,Jun,Wet,6.433142053,7
2012/07,0.481028709,12-Jul,2012,2012,3,7,2012,Jul,Wet,6.433142053,7
2012/08,0.427732644,12-Aug,2012,2012,4,8,2012,Aug,Wet,6.433142053,7
2012/09,0.391905756,12-Sep,2012,2012,5,9,2012,Sep,Wet,6.433142053,7
2012/10,0.468648181,12-Oct,2012,2012,6,10,2012,Oct,Wet,6.433142053,7
2012/11,0.590440333,12-Nov,2012,2012,7,11,2012,Nov,Dry,6.433142053,7
2012/12,0.614496659,12-Dec,2012,2012,8,12,2012,Dec,Dry,6.433142053,7
2013/01,0.541591582,13-Jan,2013,2012,9,1,2013,Jan,Dry,6.433142053,7
2013/02,0.539198158,13-Feb,2013,2012,10,2,2013,Feb,Dry,6.433142053,7
2013/03,0.526926012,13-Mar,2013,2012,11,3,2013,Mar,Dry,6.433142053,7
2013/04,0.38286724,13-Apr,2013,2012,12,4,2013,Apr,Dry,6.433142053,7
2013/05,0.258456485,13-May,2013,2013,1,5,2013,May,Wet,43.13271875,11
2013/06,0.542860522,13-Jun,2013,2013,2,6,2013,Jun,Wet,43.13271875,11
2013/07,0.632391187,13-Jul,2013,2013,3,7,2013,Jul,Wet,43.13271875,11
2013/08,0.605411224,13-Aug,2013,2013,4,8,2013,Aug,Wet,43.13271875,11
2013/09,0.515953212,13-Sep,2013,2013,5,9,2013,Sep,Wet,43.13271875,11
2013/10,0.710334307,13-Oct,2013,2013,6,10,2013,Oct,Wet,43.13271875,11
2013/11,0.679153131,13-Nov,2013,2013,7,11,2013,Nov,Dry,43.13271875,11
2013/12,0.668335885,13-Dec,2013,2013,8,12,2013,Dec,Dry,43.13271875,11
2014/01,0.531018714,14-Jan,2014,2013,9,1,2014,Jan,Dry,43.13271875,11
2014/02,0.391225663,14-Feb,2014,2013,10,2,2014,Feb,Dry,43.13271875,11
2014/03,0.27335123,14-Mar,2014,2013,11,3,2014,Mar,Dry,43.13271875,11
2014/04,0.333933202,14-Apr,2014,2013,12,4,2014,Apr,Dry,43.13271875,11
2014/05,0.425765365,14-May,2014,2014,1,5,2014,May,Wet,74.74717951,22
2014/06,0.346177497,14-Jun,2014,2014,2,6,2014,Jun,Wet,74.74717951,22
2014/07,0.582456202,14-Jul,2014,2014,3,7,2014,Jul,Wet,74.74717951,22
2014/08,0.634971093,14-Aug,2014,2014,4,8,2014,Aug,Wet,74.74717951,22
2014/09,0.515828611,14-Sep,2014,2014,5,9,2014,Sep,Wet,74.74717951,22
2014/10,0.647847969,14-Oct,2014,2014,6,10,2014,Oct,Wet,74.74717951,22
2014/11,0.562268682,14-Nov,2014,2014,7,11,2014,Nov,Dry,74.74717951,22
2014/12,0.537844533,14-Dec,2014,2014,8,12,2014,Dec,Dry,74.74717951,22
2015/01,0.262877004,15-Jan,2015,2014,9,1,2015,Jan,Dry,74.74717951,22
2015/02,0.341271364,15-Feb,2015,2014,10,2,2015,Feb,Dry,74.74717951,22
2015/03,0.360260642,15-Mar,2015,2014,11,3,2015,Mar,Dry,74.74717951,22
2015/04,0.426123507,15-Apr,2015,2014,12,4,2015,Apr,Dry,74.74717951,22
2015/05,0.500499837,15-May,2015,2015,1,5,2015,May,Wet,NA,NA
2015/06,0.470583671,15-Jun,2015,2015,2,6,2015,Jun,Wet,NA,NA
2015/07,0.532465064,15-Jul,2015,2015,3,7,2015,Jul,Wet,NA,NA
2015/08,0.577289442,15-Aug,2015,2015,4,8,2015,Aug,Wet,NA,NA
2015/09,0.762364727,15-Sep,2015,2015,5,9,2015,Sep,Wet,NA,NA
2015/10,0.671961897,15-Oct,2015,2015,6,10,2015,Oct,Wet,NA,NA
2015/11,0.714040494,15-Nov,2015,2015,7,11,2015,Nov,Dry,NA,NA
2015/12,0.728429582,15-Dec,2015,2015,8,12,2015,Dec,Dry,NA,NA
2016/01,0.717713998,16-Jan,2016,2015,9,1,2016,Jan,Dry,NA,NA
2016/02,0.58713663,16-Feb,2016,2015,10,2,2016,Feb,Dry,NA,NA
2016/03,0.586227987,16-Mar,2016,2015,11,3,2016,Mar,Dry,NA,NA
2016/04,0.473188538,16-Apr,2016,2015,12,4,2016,Apr,Dry,NA,NA
2016/05,0.593651638,16-May,2016,2016,1,5,2016,May,Wet,1.491497107,8
2016/06,0.694971256,16-Jun,2016,2016,2,6,2016,Jun,Wet,1.491497107,8
2016/07,0.638081452,16-Jul,2016,2016,3,7,2016,Jul,Wet,1.491497107,8
2016/08,0.652999119,16-Aug,2016,2016,4,8,2016,Aug,Wet,1.491497107,8
2016/09,0.652499472,16-Sep,2016,2016,5,9,2016,Sep,Wet,1.491497107,8
2016/10,0.639169167,16-Oct,2016,2016,6,10,2016,Oct,Wet,1.491497107,8
2016/11,0.648359964,16-Nov,2016,2016,7,11,2016,Nov,Dry,1.491497107,8
2016/12,0.57635191,16-Dec,2016,2016,8,12,2016,Dec,Dry,1.491497107,8
2017/01,0.625718249,17-Jan,2017,2016,9,1,2017,Jan,Dry,1.491497107,8
2017/02,0.364109126,17-Feb,2017,2016,10,2,2017,Feb,Dry,1.491497107,8
2017/03,0.402171676,17-Mar,2017,2016,11,3,2017,Mar,Dry,1.491497107,8
2017/04,0.363835874,17-Apr,2017,2016,12,4,2017,Apr,Dry,1.491497107,8
2017/05,0.423517376,17-May,2017,2017,1,5,2017,May,Wet,16.02384409,14
2017/06,0.463604616,17-Jun,2017,2017,2,6,2017,Jun,Wet,16.02384409,14
2017/07,0.471293155,17-Jul,2017,2017,3,7,2017,Jul,Wet,16.02384409,14
2017/08,0.438815459,17-Aug,2017,2017,4,8,2017,Aug,Wet,16.02384409,14
2017/09,0.471338227,17-Sep,2017,2017,5,9,2017,Sep,Wet,16.02384409,14
2017/10,0.647030435,17-Oct,2017,2017,6,10,2017,Oct,Wet,16.02384409,14
2017/11,0.708187203,17-Nov,2017,2017,7,11,2017,Nov,Dry,16.02384409,14
2017/12,0.66704389,17-Dec,2017,2017,8,12,2017,Dec,Dry,16.02384409,14
2018/01,0.590355251,18-Jan,2018,2017,9,01,2018,Jan,Dry,16.02384409,14
2018/02,0.530881029,18-Feb,2018,2017,10,02,2018,Feb,Dry,16.02384409,14
2018/03,0.546219995,18-Mar,2018,2017,11,03,2018,Mar,Dry,16.02384409,14
2018/04,0.392010909,18-Apr,2018,2017,12,04,2018,Apr,Dry,16.02384409,14
2018/05,0.398738944,18-May,2018,2018,1,05,2018,May,Wet,6.033053669,14
2018/06,0.516026981,18-Jun,2018,2018,2,06,2018,Jun,Wet,6.033053669,14
2018/07,0.654886789,18-Jul,2018,2018,3,07,2018,Jul,Wet,6.033053669,14
2018/08,0.695933026,18-Aug,2018,2018,4,08,2018,Aug,Wet,6.033053669,14
2018/09,0.657984742,18-Sep,2018,2018,5,09,2018,Sep,Wet,6.033053669,14
2018/10,0.677965082,18-Oct,2018,2018,6,10,2018,Oct,Wet,6.033053669,14
2018/11,0.598683194,18-Nov,2018,2018,7,11,2018,Nov,Dry,6.033053669,14
2018/12,0.579353694,18-Dec,2018,2018,8,12,2018,Dec,Dry,6.033053669,14
2019/01,0.54134928,19-Jan,2019,2018,9,01,2019,Jan,Dry,6.033053669,14
2019/02,0.525906453,19-Feb,2019,2018,10,02,2019,Feb,Dry,6.033053669,14
2019/03,0.572287363,19-Mar,2019,2018,11,03,2019,Mar,Dry,6.033053669,14
2019/04,0.488061876,19-Apr,2019,2018,12,04,2019,Apr,Dry,6.033053669,14
2019/05,0.574816658,19-May,2019,2019,1,05,2019,May,Wet,5.556380677,4
2019/06,0.567069294,19-Jun,2019,2019,2,06,2019,Jun,Wet,5.556380677,4
2019/07,0.606915766,19-Jul,2019,2019,3,07,2019,Jul,Wet,5.556380677,4
2019/08,0.642257842,19-Aug,2019,2019,4,08,2019,Aug,Wet,5.556380677,4
2019/09,0.626501821,19-Sep,2019,2019,5,09,2019,Sep,Wet,5.556380677,4
2019/10,0.663109855,19-Oct,2019,2019,6,10,2019,Oct,Wet,5.556380677,4
2019/11,0.645691377,19-Nov,2019,2019,7,11,2019,Nov,Dry,5.556380677,4
2019/12,0.659629407,19-Dec,2019,2019,8,12,2019,Dec,Dry,5.556380677,4
2020/01,0.600865201,20-Jan,2020,2019,9,01,2020,Jan,Dry,5.556380677,4
2020/02,0.564706757,20-Feb,2020,2019,10,02,2020,Feb,Dry,5.556380677,4
2020/03,0.56324608,20-Mar,2020,2019,11,03,2020,Mar,Dry,5.556380677,4
2020/04,0.571151784,20-Apr,2020,2019,12,04,2020,Apr,Dry,5.556380677,4
2020/05,0.37214541,20-May,2020,2020,1,05,2020,May,Wet,317.9254114,10
2020/06,0.474987288,20-Jun,2020,2020,2,06,2020,Jun,Wet,317.9254114,10
2020/07,0.501121001,20-Jul,2020,2020,3,07,2020,Jul,Wet,317.9254114,10
2020/08,0.60216274,20-Aug,2020,2020,4,08,2020,Aug,Wet,317.9254114,10
2020/09,0.502797059,20-Sep,2020,2020,5,09,2020,Sep,Wet,317.9254114,10
2020/10,0.424061037,20-Oct,2020,2020,6,10,2020,Oct,Wet,317.9254114,10
2020/11,0.6591462,20-Nov,2020,2020,7,11,2020,Nov,Dry,317.9254114,10
2020/12,0.618858839,20-Dec,2020,2020,8,12,2020,Dec,Dry,317.9254114,10
2021/01,0.401581859,21-Jan,2021,2020,9,01,2021,Jan,Dry,317.9254114,10
2021/02,0.444902793,21-Feb,2021,2020,10,02,2021,Feb,Dry,317.9254114,10
2021/03,0.484070303,21-Mar,2021,2020,11,03,2021,Mar,Dry,317.9254114,10
2021/04,0.504228725,21-Apr,2021,2020,12,04,2021,Apr,Dry,317.9254114,10
2021/05,0.406953974,21-May,2021,2021,1,05,2021,May,Wet,0.019349754,4
2021/06,0.461437549,21-Jun,2021,2021,2,06,2021,Jun,Wet,0.019349754,4
2021/07,0.607388355,21-Jul,2021,2021,3,07,2021,Jul,Wet,0.019349754,4
2021/08,0.718813103,21-Aug,2021,2021,4,08,2021,Aug,Wet,0.019349754,4
2021/09,0.795257097,21-Sep,2021,2021,5,09,2021,Sep,Wet,0.019349754,4
2021/10,0.661053731,21-Oct,2021,2021,6,10,2021,Oct,Wet,0.019349754,4
2021/11,0.726530585,21-Nov,2021,2021,7,11,2021,Nov,Dry,0.019349754,4
2021/12,0.619490279,21-Dec,2021,2021,8,12,2021,Dec,Dry,0.019349754,4
2022/01,0.592222535,22-Jan,2022,2021,9,01,2022,Jan,Dry,0.019349754,4
2022/02,0.549364062,22-Feb,2022,2021,10,02,2022,Feb,Dry,0.019349754,4
2022/03,0.557962022,22-Mar,2022,2021,11,03,2022,Mar,Dry,0.019349754,4
2022/04,0.612438764,22-Apr,2022,2021,12,04,2022,Apr,Dry,0.019349754,4
2022/05,0.645875249,22-May,2022,2022,1,05,2022,May,Wet,14.76634796,7
2022/06,0.645191733,22-Jun,2022,2022,2,06,2022,Jun,Wet,14.76634796,7
2022/07,0.709858658,22-Jul,2022,2022,3,07,2022,Jul,Wet,14.76634796,7
2022/08,0.705209698,22-Aug,2022,2022,4,08,2022,Aug,Wet,14.76634796,7
2022/09,0.69177314,22-Sep,2022,2022,5,09,2022,Sep,Wet,14.76634796,7
2022/10,0.509174427,22-Oct,2022,2022,6,10,2022,Oct,Wet,14.76634796,7
2022/11,0.6853727,22-Nov,2022,2022,7,11,2022,Nov,Dry,14.76634796,7
2022/12,0.627962636,22-Dec,2022,2022,8,12,2022,Dec,Dry,14.76634796,7
2023/01,0.622023905,23-Jan,2023,2022,9,01,2023,Jan,Dry,14.76634796,7
2023/02,0.701279792,23-Feb,2023,2022,10,02,2023,Feb,Dry,14.76634796,7
2023/03,0.725294086,23-Mar,2023,2022,11,03,2023,Mar,Dry,14.76634796,7
2023/04,0.615159909,23-Apr,2023,2022,12,04,2023,Apr,Dry,14.76634796,7