Year,vol,obs,Eadj_Seasonal_Mean,Eadj_Seasonal_SD,Eadj_Seasonal_Min,Eadj_Seasonal_Max
2011,3.83,17,0.472,0.123,0.362,0.605
2011,4.71,17,0.472,0.123,0.362,0.605
2011,4.45,17,0.472,0.123,0.362,0.605
2011,3.65,17,0.472,0.123,0.362,0.605
2011,3.25,17,0.472,0.123,0.362,0.605
2011,5.56,17,0.472,0.123,0.362,0.605
2011,3.10,17,0.472,0.123,0.362,0.605
2011,5.26,17,0.472,0.123,0.362,0.605
2011,4.25,17,0.472,0.123,0.362,0.605
2011,4.94,17,0.472,0.123,0.362,0.605
2011,4.49,17,0.472,0.123,0.362,0.605
2011,3.46,17,0.472,0.123,0.362,0.605
2011,3.75,17,0.472,0.123,0.362,0.605
2011,4.83,17,0.472,0.123,0.362,0.605
2011,6.21,17,0.472,0.123,0.362,0.605
2011,5.60,17,0.472,0.123,0.362,0.605
2011,4.38,17,0.472,0.123,0.362,0.605
2011,4.68,17,0.472,0.123,0.362,0.605
2011,6.31,17,0.472,0.123,0.362,0.605
2011,5.18,17,0.472,0.123,0.362,0.605
2012,32.34,4,0.494,0.125,0.266,0.615
2012,36.44,4,0.494,0.125,0.266,0.615
2012,37.18,4,0.494,0.125,0.266,0.615
2012,28.78,4,0.494,0.125,0.266,0.615
2012,35.74,4,0.494,0.125,0.266,0.615
2012,21.88,4,0.494,0.125,0.266,0.615
2012,23.10,4,0.494,0.125,0.266,0.615
2012,45.71,4,0.494,0.125,0.266,0.615
2012,46.38,4,0.494,0.125,0.266,0.615
2012,42.32,4,0.494,0.125,0.266,0.615
2012,45.35,4,0.494,0.125,0.266,0.615
2012,26.64,4,0.494,0.125,0.266,0.615
2012,31.75,4,0.494,0.125,0.266,0.615
2012,49.72,4,0.494,0.125,0.266,0.615
2012,18.17,4,0.494,0.125,0.266,0.615
2012,24.38,4,0.494,0.125,0.266,0.615
2012,34.82,4,0.494,0.125,0.266,0.615
2012,27.18,4,0.494,0.125,0.266,0.615
2012,30.05,4,0.494,0.125,0.266,0.615
2012,45.21,4,0.494,0.125,0.266,0.615
2013,5.17,19,0.472,0.159,0.273,0.679
2013,3.25,19,0.472,0.159,0.273,0.679
2013,4.99,19,0.472,0.159,0.273,0.679
2013,5.54,19,0.472,0.159,0.273,0.679
2013,2.13,19,0.472,0.159,0.273,0.679
2013,3.74,19,0.472,0.159,0.273,0.679
2013,3.15,19,0.472,0.159,0.273,0.679
2013,4.81,19,0.472,0.159,0.273,0.679
2013,5.33,19,0.472,0.159,0.273,0.679
2013,3.99,19,0.472,0.159,0.273,0.679
2013,3.99,19,0.472,0.159,0.273,0.679
2013,3.81,19,0.472,0.159,0.273,0.679
2013,4.22,19,0.472,0.159,0.273,0.679
2013,4.50,19,0.472,0.159,0.273,0.679
2013,4.06,19,0.472,0.159,0.273,0.679
2013,5.23,19,0.472,0.159,0.273,0.679
2013,7.27,19,0.472,0.159,0.273,0.679
2013,5.58,19,0.472,0.159,0.273,0.679
2013,6.69,19,0.472,0.159,0.273,0.679
2013,5.52,19,0.472,0.159,0.273,0.679
2014,4.14,12,0.427,0.110,0.266,0.560
2014,3.98,12,0.427,0.110,0.266,0.560
2014,6.17,12,0.427,0.110,0.266,0.560
2014,5.67,12,0.427,0.110,0.266,0.560
2014,8.70,12,0.427,0.110,0.266,0.560
2014,7.23,12,0.427,0.110,0.266,0.560
2014,8.09,12,0.427,0.110,0.266,0.560
2014,7.69,12,0.427,0.110,0.266,0.560
2014,5.35,12,0.427,0.110,0.266,0.560
2014,8.00,12,0.427,0.110,0.266,0.560
2014,4.60,12,0.427,0.110,0.266,0.560
2014,6.91,12,0.427,0.110,0.266,0.560
2014,4.83,12,0.427,0.110,0.266,0.560
2014,5.72,12,0.427,0.110,0.266,0.560
2014,12.51,12,0.427,0.110,0.266,0.560
2014,5.42,12,0.427,0.110,0.266,0.560
2014,4.46,12,0.427,0.110,0.266,0.560
2014,6.88,12,0.427,0.110,0.266,0.560
2014,4.10,12,0.427,0.110,0.266,0.560
2014,5.95,12,0.427,0.110,0.266,0.560
2016,8.46,11,0.486,0.126,0.364,0.649
2016,6.45,11,0.486,0.126,0.364,0.649
2016,14.20,11,0.486,0.126,0.364,0.649
2016,4.16,11,0.486,0.126,0.364,0.649
2016,12.81,11,0.486,0.126,0.364,0.649
2016,7.85,11,0.486,0.126,0.364,0.649
2016,9.07,11,0.486,0.126,0.364,0.649
2016,10.94,11,0.486,0.126,0.364,0.649
2016,13.74,11,0.486,0.126,0.364,0.649
2016,11.49,11,0.486,0.126,0.364,0.649
2016,9.94,11,0.486,0.126,0.364,0.649
2016,7.87,11,0.486,0.126,0.364,0.649
2016,6.02,11,0.486,0.126,0.364,0.649
2016,9.19,11,0.486,0.126,0.364,0.649
2016,7.28,11,0.486,0.126,0.364,0.649
2016,7.88,11,0.486,0.126,0.364,0.649
2016,5.52,11,0.486,0.126,0.364,0.649
2016,10.75,11,0.486,0.126,0.364,0.649
2016,10.27,11,0.486,0.126,0.364,0.649
2016,11.09,11,0.486,0.126,0.364,0.649
2017,5.31,17,0.547,0.121,0.391,0.707
2017,4.27,17,0.547,0.121,0.391,0.707
2017,8.82,17,0.547,0.121,0.391,0.707
2017,8.78,17,0.547,0.121,0.391,0.707
2017,6.63,17,0.547,0.121,0.391,0.707
2017,3.73,17,0.547,0.121,0.391,0.707
2017,7.37,17,0.547,0.121,0.391,0.707
2017,3.81,17,0.547,0.121,0.391,0.707
2017,3.73,17,0.547,0.121,0.391,0.707
2017,7.29,17,0.547,0.121,0.391,0.707
2017,5.98,17,0.547,0.121,0.391,0.707
2017,5.33,17,0.547,0.121,0.391,0.707
2017,2.63,17,0.547,0.121,0.391,0.707
2017,7.20,17,0.547,0.121,0.391,0.707
2017,8.83,17,0.547,0.121,0.391,0.707
2017,5.20,17,0.547,0.121,0.391,0.707
2017,4.04,17,0.547,0.121,0.391,0.707
2017,5.55,17,0.547,0.121,0.391,0.707
2017,5.45,17,0.547,0.121,0.391,0.707
2017,6.38,17,0.547,0.121,0.391,0.707
2018,17.03,10,0.555,0.038,0.490,0.600
2018,9.51,10,0.555,0.038,0.490,0.600
2018,17.61,10,0.555,0.038,0.490,0.600
2018,15.18,10,0.555,0.038,0.490,0.600
2018,14.32,10,0.555,0.038,0.490,0.600
2018,14.45,10,0.555,0.038,0.490,0.600
2018,11.90,10,0.555,0.038,0.490,0.600
2018,11.22,10,0.555,0.038,0.490,0.600
2018,9.52,10,0.555,0.038,0.490,0.600
2018,21.05,10,0.555,0.038,0.490,0.600
2018,12.19,10,0.555,0.038,0.490,0.600
2018,11.39,10,0.555,0.038,0.490,0.600
2018,15.74,10,0.555,0.038,0.490,0.600
2018,18.11,10,0.555,0.038,0.490,0.600
2018,13.65,10,0.555,0.038,0.490,0.600
2018,12.54,10,0.555,0.038,0.490,0.600
2018,9.83,10,0.555,0.038,0.490,0.600
2018,11.94,10,0.555,0.038,0.490,0.600
2018,11.75,10,0.555,0.038,0.490,0.600
2018,11.41,10,0.555,0.038,0.490,0.600
2019,15.17,8,0.569,0.094,0.374,0.660
2019,15.72,8,0.569,0.094,0.374,0.660
2019,13.33,8,0.569,0.094,0.374,0.660
2019,15.47,8,0.569,0.094,0.374,0.660
2019,18.38,8,0.569,0.094,0.374,0.660
2019,15.24,8,0.569,0.094,0.374,0.660
2019,15.40,8,0.569,0.094,0.374,0.660
2019,14.59,8,0.569,0.094,0.374,0.660
2019,13.47,8,0.569,0.094,0.374,0.660
2019,13.81,8,0.569,0.094,0.374,0.660
2019,13.21,8,0.569,0.094,0.374,0.660
2019,12.88,8,0.569,0.094,0.374,0.660
2019,17.69,8,0.569,0.094,0.374,0.660
2019,10.00,8,0.569,0.094,0.374,0.660
2019,18.86,8,0.569,0.094,0.374,0.660
2019,14.54,8,0.569,0.094,0.374,0.660
2019,12.02,8,0.569,0.094,0.374,0.660
2019,16.95,8,0.569,0.094,0.374,0.660
2019,13.07,8,0.569,0.094,0.374,0.660
2019,17.21,8,0.569,0.094,0.374,0.660
2020,116.20,4,0.517,0.108,0.392,0.660
2020,104.83,4,0.517,0.108,0.392,0.660
2020,56.89,4,0.517,0.108,0.392,0.660
2020,97.42,4,0.517,0.108,0.392,0.660
2020,91.04,4,0.517,0.108,0.392,0.660
2020,92.29,4,0.517,0.108,0.392,0.660
2020,69.44,4,0.517,0.108,0.392,0.660
2020,86.79,4,0.517,0.108,0.392,0.660
2020,92.58,4,0.517,0.108,0.392,0.660
2020,83.66,4,0.517,0.108,0.392,0.660
2020,87.28,4,0.517,0.108,0.392,0.660
2020,79.80,4,0.517,0.108,0.392,0.660
2020,107.83,4,0.517,0.108,0.392,0.660
2020,70.23,4,0.517,0.108,0.392,0.660
2020,82.12,4,0.517,0.108,0.392,0.660
2020,125.50,4,0.517,0.108,0.392,0.660
2020,91.65,4,0.517,0.108,0.392,0.660
2020,64.13,4,0.517,0.108,0.392,0.660
2020,118.76,4,0.517,0.108,0.392,0.660
2020,70.87,4,0.517,0.108,0.392,0.660