Source,n,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S
Bay anchovy,2,-24.4,1.0,9.3,1.0,15.4,1.0
Bigclaw snapping shrimp,2,-15.0,1.0,11.2,0.3,10.9,0.1
Bluegill,6,-31.5,0.5,11.3,1.7,24.6,1.6
Crested goby,4,-24.6,0.9,8.7,0.9,8.2,0.9
Eastern shiners,15,-32.2,0.5,12.3,0.8,23.5,3.3
Golden topminnow,2,-27.9,1.0,9.9,1.0,24.7,1.0
Grass shrimp_FW,2,-31.6,1.0,12.1,1.0,25.1,1.0
Grass shrimp_SW,2,-18.6,1.0,11.6,1.0,15.0,1.0
Grass shrimp_ES,3,-27.9,0.3,9.3,0.8,11.1,1.4
Green porceline crab,2,-22.9,1.0,5.4,1.0,11.0,1.0
Hogchoker,3,-31.6,0.3,10.2,0.3,18.4,3.8
Mud crab_ES,7,-24.3,6.8,6.8,0.9,7.6,4.5
Mud crab_SW,9,-14.8,2.0,4.8,1.2,13.6,2.0
Pink shrimp_SW,2,-15.1,1.0,11.1,1.0,12.3,1.0
Pink shrimp_ES,6,-26.2,0.8,7.7,1.9,7.4,3.5
Pipefish,2,-15.9,1.0,11.1,1.0,9.0,1.0
Rainwater killifish,3,-17.0,1.6,8.2,3.4,12.0,0.2
Redear sunfish,2,-30.5,1.0,12.8,1.0,25.2,1.0
Seahorse,2,-13.9,1.0,6.4,1.0,9.8,1.0
Silverside,2,-31.2,0.8,11.2,0.3,22.3,0.2
Spider crab,2,-13.6,2.2,4.3,1.5,8.8,2.5
Spotted sunfish,2,-30.3,1.0,10.9,1.0,25.8,1.0
Tidewater mojarra_SW,2,-13.6,1.0,7.5,1.0,7.5,1.0
Tidewater mojarra_ES,2,-24.1,0.6,9.7,0.0,7.3,0.8