YearMonth_Date,daysbelow30,monthly_mean_stage_cm,monthly_mean_stage_cm_prev
5/1/12,23,26.47827096774194,NA
6/1/12,0,40.95496,26.47827096774194
7/1/12,0,50.960593548387095,40.95496
8/1/12,0,50.557470967741935,50.960593548387095
9/1/12,0,55.940960000000004,50.557470967741935
10/1/12,0,69.74020645,55.940960000000004
11/1/12,0,57.0484,69.74020645
12/1/12,0,45.77899355,57.0484
1/1/13,0,39.024232258064515,45.77899355
2/1/13,3,31.41617142857143,39.024232258064515
3/1/13,31,22.5552,31.41617142857143
4/1/13,30,14.224,22.5552
5/1/13,21,25.927664516129035,14.224
6/1/13,0,49.10328,25.927664516129035
7/1/13,0,55.55225806451613,49.10328
8/1/13,0,48.18789677419355,55.55225806451613
9/1/13,0,55.178960000000004,48.18789677419355
10/1/13,0,56.26018064516129,55.178960000000004
11/1/13,0,47.26432,56.26018064516129
12/1/13,0,47.47997419354839,47.26432
1/1/14,0,39.71249032258065,47.47997419354839
2/1/14,0,33.35382857142857,39.71249032258065
3/1/14,30,24.364335483870967,33.35382857142857
4/1/14,30,11.257280000000002,24.364335483870967
5/1/14,31,-2.595716129,11.257280000000002
6/1/14,25,18.420080000000002,-2.595716129
7/1/14,0,34.82585806451613,18.420080000000002
8/1/14,0,41.06934193548387,34.82585806451613
9/1/14,0,44.18584,41.06934193548387
10/1/14,0,42.770322580645164,44.18584
11/1/14,0,39.664640000000006,42.770322580645164
12/1/14,0,36.20237419354839,39.664640000000006
1/1/15,22,28.169419354838713,36.20237419354839
2/1/15,28,18.712542857142857,28.169419354838713
3/1/15,31,9.360309677419355,18.712542857142857
4/1/15,30,-1.8288,9.360309677419355
5/1/15,31,6.007509677419355,-1.8288
6/1/15,30,7.823200000000001,6.007509677419355
7/1/15,31,16.734503225806453,7.823200000000001
8/1/15,29,26.045651612903225,16.734503225806453
9/1/15,26,28.71216,26.045651612903225
10/1/15,0,36.094219354838714,28.71216
11/1/15,0,37.7952,36.094219354838714
12/1/15,0,47.70611612903226,37.7952
1/1/16,0,50.07569032258065,47.70611612903226
2/1/16,0,53.224386206896554,50.07569032258065
3/1/16,0,43.90103225806452,53.224386206896554
4/1/16,0,39.18712,43.90103225806452
5/1/16,0,37.03811612903226,39.18712
6/1/16,0,41.77792,37.03811612903226
7/1/16,0,43.075122580645164,41.77792
8/1/16,0,42.29837419354839,43.075122580645164
9/1/16,0,53.51272,42.29837419354839
10/1/16,0,51.38338064516129,53.51272
11/1/16,0,46.25848,51.38338064516129
12/1/16,0,39.71249032258065,46.25848
1/1/17,7,32.141651612903225,39.71249032258065
2/1/17,28,21.597257142857146,32.141651612903225
3/1/17,31,8.318090322580645,21.597257142857146
4/1/17,30,-0.19304,8.318090322580645
5/1/17,31,2.9988387096774196,-0.19304
6/1/17,16,23.89632,2.9988387096774196
7/1/17,0,48.64018064516129,23.89632
8/1/17,0,62.30701935483871,48.64018064516129
9/1/17,0,77.978,62.30701935483871
10/1/17,0,83.52503225806451,77.978
11/1/17,0,79.24799999999999,83.52503225806451
12/1/17,0,66.77086451612904,79.24799999999999
1/1/18,0,54.303561290322584,66.77086451612904
2/1/18,0,45.371657142857146,54.303561290322584
3/1/18,3,36.21220645161291,45.371657142857146
4/1/18,30,23.15464,36.21220645161291
5/1/18,25,16.852490322580646,23.15464
6/1/18,0,48.879760000000005,16.852490322580646
7/1/18,0,54.746012903225804,48.879760000000005
8/1/18,0,53.62513548387097,54.746012903225804
9/1/18,0,65.35928,53.62513548387097
10/1/18,0,57.55803870967742,65.35928
11/1/18,0,45.78096,57.55803870967742
12/1/18,0,37.53956129032258,45.78096
1/1/19,23,28.267741935483873,37.53956129032258
2/1/19,28,26.321657142857145,28.267741935483873
3/1/19,31,15.004025806451612,26.321657142857145
4/1/19,30,8.128,15.004025806451612
5/1/19,31,8.731045161290323,8.128
6/1/19,14,26.6192,8.731045161290323
7/1/19,0,39.54534193548387,26.6192
8/1/19,0,49.20061935483871,39.54534193548387
9/1/19,0,49.95672,49.20061935483871
10/1/19,0,48.178064516129034,49.95672
11/1/19,0,43.64736,48.178064516129034
12/1/19,0,38.375303225806455,43.64736
1/1/20,5,33.99994838709678,38.375303225806455
2/1/20,13,29.513048275862072,33.99994838709678
3/1/20,31,15.672619354838707,29.513048275862072
4/1/20,30,8.79856,15.672619354838707
5/1/20,31,5.250425806451614,8.79856
6/1/20,29,18.93824,5.250425806451614
7/1/20,0,43.10461935483871,18.93824
8/1/20,0,53.23184516129032,43.10461935483871
9/1/20,0,57.41416,53.23184516129032
10/1/20,0,64.9224,57.41416
11/1/20,0,81.76768,64.9224
12/1/20,0,76.05251612903226,81.76768
1/1/21,0,64.48978064516129,76.05251612903226
2/1/21,0,54.515657142857144,64.48978064516129
3/1/21,0,44.96291612903226,54.515657142857144
4/1/21,0,37.01288,44.96291612903226
5/1/21,23,26.62575483870968,37.01288
6/1/21,26,22.56536,26.62575483870968
7/1/21,11,32.25963870967742,22.56536
8/1/21,0,37.362580645161295,32.25963870967742
9/1/21,0,42.48912,37.362580645161295
10/1/21,0,50.53780645,42.48912
11/1/21,0,54.16296,50.53780645
12/1/21,0,48.00108387096774,54.16296
1/1/22,0,42.514683870967744,48.00108387096774
2/1/22,0,43.161857142857144,42.514683870967744
3/1/22,0,39.791148387096776,43.161857142857144
4/1/22,0,37.56152,39.791148387096776
5/1/22,9,30.824129032258067,37.56152
6/1/22,2,52.852320000000006,30.824129032258067
7/1/22,0,44.66794838709677,52.852320000000006
8/1/22,0,42.33770322580645,44.66794838709677
9/1/22,0,55.45328,42.33770322580645
10/1/22,0,62.62165161290323,55.45328
11/1/22,0,52.66944,62.62165161290323
12/1/22,0,51.84549677419355,52.66944
1/1/23,0,49.25961290322581,51.84549677419355
2/1/23,0,43.346914285714284,49.25961290322581
3/1/23,0,37.07744516129033,43.346914285714284
4/1/23,4,33.842960000000005,37.07744516129033
,,,