Source,TS,Meand15N,SDd15N,Meand13C,SDd13C,Meand34S,SDd34S
Bay anchovy,1,3.3,1,1.3,0.3,0.5,0.5
Bigclaw snapping shrimp,1,3.3,1,1.3,0.3,0.5,0.5
Bluegill,1,3.3,1,1.3,0.3,0.5,0.5
Crested goby,1,3.3,1,1.3,0.3,0.5,0.5
Eastern shiners,1,3.3,1,1.3,0.3,0.5,0.5
Golden topminnow,1,3.3,1,1.3,0.3,0.5,0.5
Grass shrimp_FW,1,3.3,1,1.3,0.3,0.5,0.5
Grass shrimp_SW,1,3.3,1,1.3,0.3,0.5,0.5
Grass shrimp_ES,1,3.3,1,1.3,0.3,0.5,0.5
Green porceline crab,1,3.3,1,1.3,0.3,0.5,0.5
Hogchoker,1,3.3,1,1.3,0.3,0.5,0.5
Mud crab_ES,1,3.3,1,1.3,0.3,0.5,0.5
Mud crab_SW,1,3.3,1,1.3,0.3,0.5,0.5
Pink shrimp_SW,1,3.3,1,1.3,0.3,0.5,0.5
Pink shrimp_ES,1,3.3,1,1.3,0.3,0.5,0.5
Pipefish,1,3.3,1,1.3,0.3,0.5,0.5
Rainwater killifish,1,3.3,1,1.3,0.3,0.5,0.5
Redear sunfish,1,3.3,1,1.3,0.3,0.5,0.5
Seahorse,1,3.3,1,1.3,0.3,0.5,0.5
Silverside,1,3.3,1,1.3,0.3,0.5,0.5
Spider crab,1,3.3,1,1.3,0.3,0.5,0.5
Spotted sunfish,1,3.3,1,1.3,0.3,0.5,0.5
Tidewater mojarra_SW,1,3.3,1,1.3,0.3,0.5,0.5
Tidewater mojarra_ES,1,3.3,1,1.3,0.3,0.5,0.5